Circuito,Curva,Peralte_Grados,Distancia_Inicio_m,Distancia_Fin_m
Zandvoort,T1,4.5,FALTA,FALTA
Zandvoort,T2,3.0,FALTA,FALTA
Zandvoort,T3,18.5,FALTA,FALTA
Zandvoort,T4,2.5,FALTA,FALTA
Zandvoort,T5,2.5,FALTA,FALTA
Zandvoort,T6,4.75,FALTA,FALTA
Zandvoort,T7,4.75,FALTA,FALTA
Zandvoort,T8,3.0,FALTA,FALTA
Zandvoort,T9,3.0,FALTA,FALTA
Zandvoort,T10,3.5,FALTA,FALTA
Zandvoort,T11,2.5,FALTA,FALTA
Zandvoort,T12,2.5,FALTA,FALTA
Zandvoort,T13,4.5,FALTA,FALTA
Zandvoort,T14,18.5,FALTA,FALTA
Suzuka,T1,2.5,568.84,778.77
Suzuka,T2,2.5,762.84,950.22
Suzuka,T3,2.0,966.03,1131.34
Suzuka,T4,2.0,1145.36,1281.28
Suzuka,T5,2.0,1268.38,1435.78
Suzuka,T6,-1.5,1435.78,1645.2
Suzuka,T7,2.5,1669.97,2069.41
Suzuka,T8,3.0,2185.73,2345.11
Suzuka,T9,2.0,2345.11,2490.08
Suzuka,T11,5.0,2811.83,3014.34
Suzuka,T12,2.0,3044.67,3478.72
Suzuka,T13,3.0,3648.21,3874.96
Suzuka,T14,2.0,3854.23,4066.49
Suzuka,T15,2.0,4806.58,5103.77
Suzuka,T16,1.5,5220.1,5426.77
Suzuka,T17,1.5,5419.09,5554.92
Suzuka,T18,1.5,5536.28,5742.63
Shanghai,T1,2.0,511.61,646.43
Shanghai,T2,2.0,636.25,808.62
Shanghai,T3,2.0,799.72,949.82
Shanghai,T4,2.0,938.86,1063.86
Shanghai,T5,2.0,1201.67,1353.12
Shanghai,T6,2.0,1425.18,1692.28
Shanghai,T7,3.0,1771.72,2127.12
Shanghai,T8,3.0,2161.46,2410.13
Shanghai,T9,2.0,2402.05,2560.74
Shanghai,T10,2.0,2551.65,2670.76
Shanghai,T11,2.0,2976.09,3126.34
Shanghai,T12,2.0,3119.37,3273.63
Shanghai,T13,4.0,3227.67,3545.59
Shanghai,T14,2.0,4621.55,4797.83
Shanghai,T15,2.0,4775.59,4832.66
Shanghai,T16,2.0,5124.08,5124.08
Austin,T1,4.5,FALTA,FALTA
Austin,T2,2.0,FALTA,FALTA
Austin,T3,2.0,FALTA,FALTA
Austin,T4,2.0,FALTA,FALTA
Austin,T5,2.0,FALTA,FALTA
Austin,T6,2.0,FALTA,FALTA
Austin,T7,2.0,FALTA,FALTA
Austin,T8,2.0,FALTA,FALTA
Austin,T9,2.0,FALTA,FALTA
Austin,T10,2.0,FALTA,FALTA
Austin,T11,2.0,FALTA,FALTA
Austin,T12,2.0,FALTA,FALTA
Austin,T13,2.0,FALTA,FALTA
Austin,T14,2.0,FALTA,FALTA
Austin,T15,2.0,FALTA,FALTA
Austin,T16,3.0,FALTA,FALTA
Austin,T17,3.0,FALTA,FALTA
Austin,T18,3.0,FALTA,FALTA
Austin,T19,2.0,FALTA,FALTA
Austin,T20,2.0,FALTA,FALTA
São Paulo,T1,4.0,FALTA,FALTA
São Paulo,T2,4.0,FALTA,FALTA
São Paulo,T3,4.0,FALTA,FALTA
São Paulo,T4,2.0,FALTA,FALTA
São Paulo,T5,2.0,FALTA,FALTA
São Paulo,T6,3.0,FALTA,FALTA
São Paulo,T7,3.0,FALTA,FALTA
São Paulo,T8,2.0,FALTA,FALTA
São Paulo,T9,2.0,FALTA,FALTA
São Paulo,T10,2.0,FALTA,FALTA
São Paulo,T11,2.0,FALTA,FALTA
São Paulo,T12,2.0,FALTA,FALTA
São Paulo,T13,4.0,FALTA,FALTA
São Paulo,T14,4.0,FALTA,FALTA
São Paulo,T15,4.0,FALTA,FALTA
Jeddah,T1,2.0,FALTA,FALTA
Jeddah,T2,2.0,FALTA,FALTA
Jeddah,T3,2.0,FALTA,FALTA
Jeddah,T4,2.0,FALTA,FALTA
Jeddah,T5,2.0,FALTA,FALTA
Jeddah,T6,2.0,FALTA,FALTA
Jeddah,T7,2.0,FALTA,FALTA
Jeddah,T8,2.0,FALTA,FALTA
Jeddah,T9,2.0,FALTA,FALTA
Jeddah,T10,2.0,FALTA,FALTA
Jeddah,T11,2.0,FALTA,FALTA
Jeddah,T12,2.0,FALTA,FALTA
Jeddah,T13,12.0,FALTA,FALTA
Jeddah,T14,2.0,FALTA,FALTA
Jeddah,T15,2.0,FALTA,FALTA
Jeddah,T16,2.0,FALTA,FALTA
Jeddah,T17,2.0,FALTA,FALTA
